name,ascents,grade,popularity,popularity_std,elo,elo_std,inferred_grade,inferred_grade_lower,inferred_grade_upper,inferred_grade_str,delta
Mystic Stylez,29,8B+,7.9470,1.2580,4.0402,0.4020,28.368,27.029,29.708,8C,-1.368
Bulldog,11,7C+,1.2496,0.8672,2.9881,0.4543,26.580,25.066,28.093,8B+,-3.580
Sukkubus,40,7C+,2.8027,0.4692,1.8665,0.2849,24.673,23.724,25.622,8A+,-1.673
Scrubs,826,7A,3.9865,0.1554,-3.1087,0.0666,16.215,15.993,16.437,6C,+1.785
Headhunter,158,6B,0.7261,0.2367,-5.1587,0.2350,12.730,11.947,13.513,6A+,+1.270
Kanonärohr,239,6B+,1.2222,0.1897,-3.7203,0.1767,15.176,14.587,15.764,6B+,-0.176
Red Roses,988,7A+,7.6923,0.8415,-1.3383,0.0701,19.225,18.991,19.459,7A+,-0.225
Cameltrophy,395,7A,2.9373,0.2059,-1.9675,0.1349,18.155,17.706,18.605,7A,-0.155
Merlin,281,6B+,1.6112,0.1883,-5.1258,0.1618,12.786,12.247,13.325,6A+,+2.214
Blindflug,431,7A,3.2699,0.1636,-3.4476,0.1245,15.639,15.224,16.054,6C,+2.361
Press on,22,7C,2.3200,0.8795,2.5389,0.3213,25.816,24.746,26.887,8B,-3.816
Batman,13,8A,4.1743,0.9619,4.2586,0.3987,28.740,27.411,30.068,8C+,-4.740
Vollrausch,135,7C,3.8727,0.3183,0.5341,0.1961,22.408,21.755,23.061,7C,-0.408
Tough times,4,8B,3.9100,1.7822,5.4305,0.5394,30.732,28.935,32.529,30.731865446531263,-4.732
Schneesturm,124,7C+,6.6108,0.6113,1.7236,0.1969,24.430,23.774,25.086,8A,-1.430
Pura vida,96,8A+,8.5557,1.1213,2.6229,0.1813,25.959,25.355,26.563,8B,-0.959
Höhenzone,386,7C,6.4120,0.5220,0.1328,0.1489,21.726,21.229,22.222,7C,+0.274
Schneebrett,590,7C,7.4996,0.6347,-0.1959,0.1138,21.167,20.788,21.546,7B+,+0.833
One summer in Paradise,118,8A+,9.0487,1.0866,2.2756,0.2524,25.369,24.528,26.210,8A+,-0.369
Wonderboy,125,5B,0.7312,0.2642,-5.7062,0.2368,11.799,11.011,12.588,6A,-1.799
Oh Birgit,178,6B+,1.0289,0.2222,-5.4106,0.1849,12.302,11.686,12.918,6A,+2.698
Dropzone,777,7A,5.4733,0.2999,-1.6802,0.0875,18.644,18.352,18.935,7A+,-0.644
Tropischer Sandsturm,51,7A+,0.3182,0.2899,-0.8670,0.3620,20.026,18.820,21.232,7B,-1.026
Chickenhead,4,7C+,4.2313,1.7166,6.1523,0.8650,31.959,29.077,34.841,31.958873103055357,-8.959
Höhenrausch,973,7B+,6.8620,0.4046,-1.4715,0.0805,18.998,18.730,19.266,7A+,+2.002
Foxy Lady,377,8A,10.0420,1.0453,0.6713,0.1167,22.641,22.252,23.030,7C+,+1.359
Marihuanacorner,503,7A+,4.2344,0.2305,-1.3652,0.1267,19.179,18.757,19.601,7A+,-0.179
Rythmo Brachial,53,8A,5.7359,0.8653,2.9774,0.2715,26.562,25.657,27.466,8B+,-2.562
Intermezzo,1230,7C,7.3963,0.3470,-1.0630,0.0662,19.693,19.472,19.913,7B,+2.307
Mormon Sperm Shake,57,7B,1.2724,0.3361,-0.5927,0.2964,20.492,19.505,21.480,7B,-0.492
Spankstick,162,6B,0.8901,0.2345,-5.7254,0.1722,11.767,11.193,12.341,6A,+2.233
La gran evasion,83,7B+,5.0615,0.5447,1.5830,0.2351,24.191,23.408,24.974,8A,-3.191
Intermezzo left,137,7C+,8.8398,1.0363,1.8360,0.1662,24.621,24.067,25.175,8A+,-1.621
Riders on the Storm,55,8B,7.5848,1.0455,3.0485,0.2346,26.682,25.901,27.464,8B+,-0.682
Hulkopop,60,7A,0.1667,0.2769,-1.8061,0.3605,18.430,17.228,19.631,7A,-0.430
Diesel Power,27,7C+,1.1743,0.4538,2.3727,0.3458,25.534,24.381,26.686,8B,-2.534
Steppenwolf,162,8A+,9.3998,1.1505,2.3052,0.1747,25.419,24.837,26.001,8A+,-0.419
Adi Dassler,56,7B+,1.7293,0.3588,0.5789,0.3043,22.484,21.470,23.498,7C,-1.484
Naraku,74,7B,2.3965,0.3506,0.1834,0.2780,21.812,20.885,22.738,7C,-1.812
Mentale Blockade,83,7B,0.9850,0.2287,-0.9557,0.2957,19.875,18.890,20.861,7B,+0.125
Jack the Chipper,1000,7C,9.3807,1.0103,-0.7878,0.0800,20.161,19.894,20.427,7B,+1.839
Jack is dead,16,7C+,4.6099,1.2590,3.7194,0.3480,27.823,26.663,28.983,8C,-4.823
Angry Samoa,29,7B,2.4797,0.6127,2.3360,0.3373,25.471,24.347,26.595,8A+,-5.471
Rythmo,553,7C+,9.4807,1.0782,0.1685,0.1150,21.786,21.403,22.170,7C,+1.214
Mein Leben in deinen Händen,27,7C,0.8384,0.4773,1.2967,0.3959,23.704,22.385,25.023,8A,-1.704
Believe in two,8,8B+,6.2461,1.4735,4.7818,0.5192,29.629,27.899,31.359,29.629037424040607,-2.629
Prend moi!,1,8B,3.3522,2.6142,6.0845,0.9463,31.844,28.690,34.997,31.843587072656355,-5.844
Dreamtime,65,8C,8.0885,1.0713,2.8140,0.2823,26.284,25.343,27.224,8B,+1.716
Casa Pecora,5,7C+,4.9008,1.1604,4.4900,0.5992,29.133,27.136,31.129,8C+,-6.133
Terzo cane,1,8A+,0.0380,1.5505,4.5030,1.0657,29.155,25.604,32.706,8C+,-4.155
Rain dogs,18,8A,5.7678,1.1810,3.3946,0.4412,27.271,25.801,28.741,8B+,-3.271
u-boot,1,7C+,2.2562,2.5259,5.5976,0.8956,31.016,28.032,34.000,31.01589103020666,-8.016
Le jete,3,8A,1.0115,1.3516,3.1219,1.1958,26.807,22.823,30.792,8B+,-2.807
le monolith,1,7C+,2.1381,2.1108,5.6046,1.0135,31.028,27.651,34.405,31.02790138178344,-8.028
E,3,8B,6.3254,1.7657,4.7884,0.6238,29.640,27.562,31.719,29.640201220537815,-3.640
kantele,1,7C+,2.1912,2.0393,5.6976,1.0546,31.186,27.672,34.700,31.185911081839052,-8.186
Mystic journeyman,1,7C+,2.3984,1.9381,5.6079,0.9321,31.033,27.928,34.139,31.033368432944016,-8.033
Dach,4,7C,1.5317,0.9839,4.0914,0.5994,28.455,26.458,30.452,8C,-6.455
Super platte,2,8A,3.7802,1.6427,5.4734,0.8044,30.805,28.125,33.485,30.804834430145693,-6.805
D,1,8B,1.1557,1.7932,5.8171,1.0237,31.389,27.978,34.800,31.389055518948915,-5.389
Salamandre,81,8A+,7.7883,1.1104,2.2483,0.2448,25.322,24.506,26.138,8A+,-0.322
Marilyn Monroe,5,8A,5.4560,1.9726,5.3404,0.5525,30.579,28.738,32.420,30.578761053900372,-6.579
Tecnocaterpillar,1,7B,0.5506,1.8516,4.7845,1.0684,29.634,26.074,33.194,29.63371568907901,-9.634
N.N. 9,1,6C,0.3229,1.8613,5.8529,1.3298,31.450,27.019,35.881,31.449993550619983,-15.450
N.N. 86,1,6C,1.1650,2.1342,5.9737,1.2202,31.655,27.589,35.721,31.655228889169358,-15.655
N.N. (8.2),1,6C,0.4377,1.6168,6.1107,1.2153,31.888,27.839,35.938,31.88822866132719,-15.888
Xplosion,4,8A,2.5364,1.7387,4.4863,0.8243,29.127,26.380,31.873,8C+,-5.127
little roof,1,7C+,0.1463,1.6090,3.4410,1.2341,27.350,23.238,31.462,8B+,-4.350
The Intercessor,1,8A+,2.4967,2.2041,5.9916,0.9565,31.686,28.499,34.873,31.685706447289334,-6.686
Mithril,26,8B,6.6117,1.1106,2.8003,0.4960,26.261,24.608,27.913,8B,-0.261
S7,1,7C,1.9466,2.0095,5.3705,1.0595,30.630,27.100,34.160,30.62978830102674,-8.630
Kante,7,6B,0.5703,0.8202,2.6300,0.5969,25.971,23.982,27.960,8B,-11.971
Ziegentraverse,5,8A+,3.6156,1.6895,4.7191,0.7087,29.523,27.161,31.884,29.52254234192301,-4.523
Raziputz,2,8A,3.4092,1.6200,5.2068,0.7982,30.352,27.692,33.011,30.351570466902665,-6.352
Breorre Adam,26,6C,0.7199,0.5545,0.5550,0.4378,22.444,20.985,23.902,7C,-6.444
Walker on earth,1,8A,2.8651,2.5329,5.5540,1.0613,30.942,27.405,34.478,30.94185564937414,-6.942
monolith,2,7B+,0.8864,1.2165,4.3903,0.8439,28.964,26.151,31.776,8C+,-7.964
Lo Spigolo,3,7B+,2.4123,2.0965,4.6626,0.7445,29.426,26.946,31.907,8C+,-8.426
mantle,1,6B,0.5224,1.9971,6.1892,1.3172,32.022,27.633,36.410,32.02159327622609,-18.022
verschneidung,1,5C,0.4997,1.9935,6.0985,1.3101,31.867,27.502,36.232,31.86738560467218,-20.867
Lisa,2,7A+,2.0626,1.4105,4.9689,0.7773,29.947,27.357,32.537,29.947124488661967,-10.947
schmerzschlitz,1,6C+,0.2209,2.2737,5.9808,1.2376,31.667,27.544,35.791,31.66730120496926,-14.667
Schulterzug SD,1,7A+,0.4117,2.1374,5.4195,1.1631,30.713,26.838,34.589,30.713197266236897,-11.713
Lo Spigolo sd.,1,7C+,0.7180,1.9293,5.2419,1.2396,30.411,26.281,34.542,30.411276364147675,-7.411
leistenblocker,1,7A+,1.0404,1.9599,6.0082,1.2213,31.714,27.645,35.783,31.71389902615246,-12.714
Mantle + von links,1,6B+,0.3222,1.9395,5.5919,1.0995,31.006,27.343,34.670,31.00623464020016,-16.006
links mit Platte SD,1,6A,0.3197,1.5120,4.8705,1.2929,29.780,25.472,34.088,29.779797126905102,-17.780
schräges Sloperband,1,6A+,0.6813,1.8108,5.7167,1.2424,31.218,27.079,35.358,31.218313958276347,-18.218
Mantle,1,6B+,0.6121,1.6122,5.6627,1.1332,31.127,27.351,34.902,31.126574470141488,-16.127
untergriffjump,1,6C+,0.6166,2.0217,5.8171,1.1676,31.389,27.498,35.280,31.389023349197597,-14.389
sd kante raus,1,6A+,0.8862,2.5705,5.7612,1.2349,31.294,27.179,35.409,31.293984360244416,-18.294
sloperboulder,1,6A+,0.8788,2.1515,6.3150,1.1379,32.236,28.444,36.027,32.23551254692476,-19.236
Morgana,9,7B,1.2818,0.9415,1.9937,0.6523,24.889,22.716,27.063,8A+,-4.889
Terzo Cane,5,8A,4.5259,1.7642,4.9518,0.6910,29.918,27.616,32.221,29.918093198044215,-5.918
dachboulder,1,7A,0.7083,2.1161,5.7004,1.2976,31.191,26.867,35.514,31.190709799718235,-13.191
Streetparade,289,7A,4.4775,0.3842,-1.0645,0.1474,19.690,19.199,20.182,7B,-1.690
Harvest Crunch,4,7C+,2.8072,1.6277,4.3075,0.8034,28.823,26.146,31.500,8C+,-5.823
Reiswaffelmutanten,1,7C+,2.1521,2.4274,5.2866,1.2648,30.487,26.273,34.701,30.487190813840517,-7.487
N.N. (7c+),1,7C+,1.6467,2.1377,5.5092,1.0563,30.866,27.346,34.385,30.865607369834418,-7.866
Glorfindel,1,7C+,1.5969,2.2258,5.4318,1.0039,30.734,27.389,34.079,30.73413037441074,-7.734
Secundo Uomo,4,8A,2.8077,1.2216,4.1466,0.6060,28.549,26.530,30.569,8C+,-4.549
sitzstartzug,1,6A,0.8687,2.2195,6.2062,1.2419,32.051,27.913,36.189,32.05062020688816,-20.051
right of Rain Dogs,2,7C,2.6796,2.1392,4.8596,0.8481,29.761,26.935,32.587,29.761288275244393,-7.761
Reiswaffelmutant SD,1,8A,1.4194,1.9630,5.5494,0.9612,30.934,27.731,34.137,30.93390247180587,-6.934
Ei,1,7C,0.0512,1.6718,5.2134,1.1152,30.363,26.647,34.078,30.362717484722296,-8.363
La Pelle variation,11,8A,1.6936,0.7650,2.5472,0.7120,25.830,23.458,28.203,8B,-1.830
Fredric Bricol,9,7C+,2.2012,0.7756,2.0976,0.6563,25.066,22.879,27.253,8A+,-2.066
N.N. (sd),1,7B,0.3440,1.9713,5.6357,1.0158,31.081,27.696,34.465,31.080681187146087,-11.081
Number 107,1,8A+,1.7379,2.0896,5.8103,0.9323,31.377,28.271,34.484,31.377465091240673,-6.377
La Nave Va,45,7C+,7.3869,1.2871,3.1692,0.2890,26.888,25.925,27.851,8B+,-3.888
Burnout,1,7C,1.3071,1.7395,6.0497,0.9588,31.784,28.590,34.979,31.784483556693857,-9.784
Angels heart,4,7C,2.6341,1.6154,4.2909,0.6212,28.795,26.725,30.864,8C+,-6.795
La Boule Direkt,3,8B,4.0524,1.9961,5.8588,0.9263,31.460,28.374,34.546,31.459930859120785,-5.460
Klein aber fein SD,1,5C,0.2310,1.7557,5.3564,1.0333,30.606,27.163,34.049,30.605961028327414,-19.606
Sonnenanbeter,2,7C,1.1030,2.0981,5.1616,1.2021,30.275,26.269,34.280,30.274692550623463,-8.275
Extreme Ironing,50,8A+,7.0411,1.0498,3.1793,0.2922,26.905,25.931,27.878,8B+,-1.905
Le Pilier var.,1,8A+,0.3529,1.6380,5.2766,1.1969,30.470,26.482,34.458,30.470265569683836,-5.470
Ziggentr. an Mitte,1,8A,1.0910,1.6427,5.4183,1.1805,30.711,26.778,34.644,30.71106609981676,-6.711
Grotte soupir,1,7B+,0.4080,1.6014,5.0631,1.0802,30.107,26.508,33.707,30.107329398933395,-9.107
le Pilier (direct),1,8A,1.1425,1.8930,4.9447,1.0646,29.906,26.359,33.453,29.905981777120136,-5.906
directa cantina,1,7C,0.5092,1.7586,4.3195,1.0589,28.843,25.315,32.371,8C+,-6.843
reverzar,1,7C+,1.5140,2.0917,6.2260,1.0897,32.084,28.453,35.715,32.08422349045647,-9.084
Filo.... No 7,1,7A,0.4091,2.1440,5.8001,1.4904,31.360,26.394,36.326,31.36021159895473,-13.360
lancio,1,7C,2.0093,2.1611,4.9008,1.0236,29.831,26.421,33.242,29.831355119637887,-7.831
N.N. (bei Monolith),2,7B+,0.5358,1.1185,3.8963,0.8398,28.124,25.325,30.922,8C,-7.124
M15,1,8A,1.0022,1.8844,5.8693,0.9936,31.478,28.167,34.788,31.477781394102514,-7.478
La Apelle Direct,1,8B,2.9654,2.1719,5.8730,0.9814,31.484,28.214,34.754,31.484022520988944,-5.484
The return of the su,2,7B+,2.2533,1.3749,4.4781,0.9755,29.113,25.863,32.363,8C+,-8.113
Le Vente Sombre,1,8A,1.4167,2.5594,5.4559,1.0971,30.775,27.120,34.431,30.77510802980815,-6.775
Maura Loabi,2,7C+,2.3536,1.4431,4.8607,0.9557,29.763,26.579,32.948,29.763269089558044,-6.763
h12,1,7C+,1.1468,2.0290,5.8688,1.0858,31.477,27.859,35.095,31.476944491509947,-8.477
yo-yo,1,8A,1.3271,1.9889,6.0176,1.0743,31.730,28.150,35.309,31.729899771469423,-7.730
Il cerchio celtico,205,6A+,1.7080,0.2488,-5.5774,0.1893,12.018,11.388,12.649,6A,+0.982
The Story Of 2 Worlds,36,8C,7.9950,1.2773,3.3313,0.3631,27.163,25.954,28.373,8B+,+0.837
Un uomo un perchè,162,6A,1.4010,0.2480,-3.5876,0.2138,15.401,14.689,16.113,6B+,-3.401
Roof,2,8A,2.2409,1.5891,4.6226,0.8766,29.358,26.438,32.279,8C+,-5.358
La Boule (Stehstart),2,7C,1.6504,1.6721,3.9296,0.9243,28.180,25.101,31.260,8C,-6.180
Arcadia (sd),1,7C+,0.1478,1.8809,4.2842,1.1955,28.783,24.800,32.766,8C+,-5.783
Hilary Step,2,7B+,0.4375,1.1724,3.3980,0.8252,27.277,24.527,30.026,8B+,-6.277
Monolith SS,1,7C+,1.2345,1.6991,5.4068,1.2297,30.692,26.594,34.789,30.69156815356356,-7.692
N.N. 28,1,8B,1.5427,2.2565,5.7268,1.0783,31.236,27.643,34.828,31.23557151145788,-5.236
Lo Spigolo SX,1,7C,0.8229,1.9218,4.8731,0.8505,29.784,26.950,32.618,29.784222497397874,-7.784
La Coupe,3,7C+,3.0436,1.2818,4.8256,0.5976,29.704,27.712,31.695,29.703568732363948,-6.704
Icaro's step,269,6A+,2.2991,0.2952,-6.2990,0.1747,10.792,10.209,11.374,5C,+2.208
Tricipite surale,124,7A+,2.7209,0.3269,-1.4233,0.2084,19.080,18.386,19.775,7A+,-0.080
L'uovo,41,6C,0.6188,0.3388,-1.0353,0.3591,19.740,18.543,20.936,7B,-3.740
Jungle,10,7C+,4.5693,1.2202,3.8764,0.4566,28.090,26.568,29.611,8C,-5.090
Voci della cantina,1,7B+,0.1536,1.7273,4.7416,1.1571,29.561,25.705,33.416,29.560643519321115,-8.561
Great Perril,1,7C+,1.0214,1.9559,5.0592,1.1734,30.101,26.191,34.010,30.100560453424656,-7.101
Blinded by the light,1,8B,0.8374,1.8186,5.3630,1.0254,30.617,27.200,34.034,30.617122718454784,-4.617
Figli dei fiori avanti!,40,6C,0.0062,0.4055,-1.9391,0.3750,18.203,16.954,19.453,7A,-2.203
nureyer,1,7B,1.3442,2.1997,5.8041,1.1920,31.367,27.395,35.339,31.366992808050476,-11.367
Kebab food,154,6A+,1.1318,0.2711,-4.7968,0.2307,13.345,12.577,14.114,6A+,-0.345
zebras cirenas,1,7B+,1.7638,2.2335,5.9939,1.0662,31.690,28.137,35.242,31.689688480648307,-10.690
Extra Jump,98,7A,2.0083,0.3568,-3.0000,0.2610,16.400,15.530,17.270,6C,+1.600
Molonk,631,7C,9.7226,1.0160,-0.2521,0.1004,21.072,20.737,21.406,7B+,+0.928
Chicken Head,4,7C+,5.1704,1.7794,5.3025,0.6363,30.514,28.394,32.634,30.514216536362152,-7.514
la Pyramide,1,8A,1.4218,1.8858,5.8006,0.9557,31.361,28.177,34.545,31.361056852071968,-7.361
Kienfisch Klienfisch,4,8B,4.8495,1.2082,5.1740,0.7068,30.296,27.941,32.651,30.29580017888158,-4.296
dynseitsloper,1,7A+,0.9890,2.3453,4.8848,0.9872,29.804,26.515,33.093,29.804078912657157,-10.804
Marilyn Monroe,3,8A,1.3069,1.3214,4.5373,0.9520,29.213,26.041,32.385,8C+,-5.213
Egg,1,7C+,2.7179,2.2750,5.2687,0.9030,30.457,27.448,33.466,30.4568093407018,-7.457
La Pla Pla,1,8A,0.8168,2.0398,4.4388,1.0077,29.046,25.688,32.404,8C+,-5.046
Molonk,5,7C,0.0038,0.9811,2.9760,0.7422,26.559,24.086,29.032,8B+,-4.559
la boule stehstart,2,7C,0.1194,1.4526,4.3602,1.1508,28.912,25.078,32.747,8C+,-6.912
Le Pellier,1,7C,2.6006,2.2755,5.6806,0.8648,31.157,28.275,34.039,31.156969926695684,-9.157
Mulunk,1,7C+,0.5332,1.7436,5.0368,1.0938,30.062,26.418,33.707,30.062499188264557,-7.062
calimpo,1,7B,1.5654,1.9354,5.5964,1.1401,31.014,27.215,34.813,31.01392369639902,-11.014
Fauna flash,91,7A,1.2076,0.2468,-2.1300,0.3307,17.879,16.777,18.981,7A,+0.121
Enterprice Footloose,5,7C,3.6826,1.3869,4.5584,0.5488,29.249,27.421,31.078,8C+,-7.249
Vaca Loca,106,7B,3.5640,0.5173,-0.2239,0.2325,21.119,20.345,21.894,7B+,-1.119
Ipotesi di reato,28,7A,0.0797,0.3763,-1.5248,0.5067,18.908,17.220,20.596,7A+,-0.908
The Jungle,3,7C+,5.4509,1.8593,4.7299,0.7261,29.541,27.122,31.960,29.540860663974087,-6.541
Tries-Gottardo,1,8A,3.1638,2.4141,4.0510,1.3877,28.387,23.763,33.011,8C,-4.387
Slopy traverse,167,7B,3.9757,0.4100,-0.1412,0.1860,21.260,20.640,21.880,7B+,-1.260
Deep Throat,61,8B,6.6800,1.0123,3.0407,0.2170,26.669,25.946,27.392,8B+,-0.669
orange county,20,8A,3.7641,0.7948,2.3185,0.4416,25.441,23.970,26.913,8A+,-1.441
ganymede takeover,2,8B,1.1755,1.4599,4.6635,0.7426,29.428,26.954,31.902,8C+,-3.428
Block1/d,1,6A,0.1278,1.8492,4.5053,1.2879,29.159,24.868,33.450,8C+,-17.159
Sense of Snow,1,7C,0.4347,1.6713,4.4797,1.3118,29.116,24.744,33.487,8C+,-7.116
Rain Dogs RH,2,7B+,1.7890,1.5945,4.3525,0.8102,28.899,26.200,31.599,8C+,-7.899
Frogger,5,8A,2.6343,1.3617,4.6433,0.5878,29.394,27.435,31.352,8C+,-5.394
Arcadia sds,9,7C+,5.5834,1.3540,4.1580,0.4308,28.569,27.133,30.004,8C+,-5.569
La Soucoupe left,17,7C+,3.2088,0.7364,2.2434,0.4206,25.314,23.912,26.715,8A+,-2.314
Bye bye baby,49,7A,1.1402,0.3481,-0.9628,0.3374,19.863,18.739,20.988,7B,-1.863
West Walz Fuck You,49,7B,1.9163,0.5390,0.1178,0.3869,21.700,20.411,22.990,7C,-1.700
Ii Partner,1,7C,0.7863,2.4141,5.1332,1.1283,30.226,26.467,33.986,30.226376109689625,-8.226
La boulette,224,7B,5.5401,0.5203,-0.0471,0.1730,21.420,20.843,21.996,7B+,-1.420
marylin monroe,5,8A,2.1781,1.0598,3.5307,0.5918,27.502,25.530,29.474,8C,-3.502
Elektrofischen,1,7B+,0.8552,2.4805,5.6059,1.0238,31.030,27.619,34.441,31.029987152814094,-10.030
Vol au vent,312,7A,4.1924,0.3648,-0.8164,0.1589,20.112,19.583,20.642,7B,-2.112
Yuri Gagarin,113,7B+,5.0710,0.6434,0.1829,0.2332,21.811,21.034,22.588,7C,-0.811
la proue,1,8A,1.8494,2.8329,5.4972,1.0351,30.845,27.396,34.294,30.845305951729074,-6.845
Swizz Beats,65,7C+,4.4518,0.5500,2.4496,0.2710,25.664,24.761,26.567,8B,-2.664
La vengeance du marron,70,7A,2.3099,0.5023,-0.0101,0.2759,21.483,20.564,22.402,7B+,-3.483
Brasc Vunc,76,7A,1.6686,0.3518,-1.9848,0.3105,18.126,17.091,19.161,7A,-0.126
Porcasidela,51,6B,0.0240,0.3330,-3.8311,0.3461,14.987,13.834,16.140,6B+,-0.987
Re Artù,72,6A,0.2659,0.2864,-5.3937,0.3225,12.331,11.256,13.405,6A,-0.331
La Rambla,80,7A,1.4470,0.2956,-1.5237,0.3064,18.910,17.889,19.931,7A+,-0.910
Slopey Arete II,1,7A,0.0329,1.9956,5.7387,1.3753,31.256,26.673,35.838,31.255841342683805,-13.256
Arabald,378,7B,4.5981,0.3169,-0.9708,0.1614,19.850,19.312,20.387,7B,+0.150
Arcadia stand,5,7C,0.7668,0.9907,3.5298,0.7596,27.501,24.970,30.032,8C,-5.501
Auto Pilot,396,7A+,4.4472,0.3222,-1.4158,0.1194,19.093,18.695,19.491,7A+,-0.093
Obelix,50,6B,0.1551,0.3441,-4.7445,0.5149,13.434,11.719,15.150,6A+,+0.566
Cave Traverse,1,6C,0.2622,1.9509,5.9423,1.2766,31.602,27.348,35.856,31.601882613664056,-15.602
Teamwork,165,8A,8.5640,1.0297,0.9792,0.1802,23.165,22.564,23.765,7C+,+0.835
super jump,25,7A+,0.3621,0.5242,1.1353,0.4379,23.430,21.971,24.889,7C+,-4.430
swing off,43,7B,0.8874,0.3870,0.3111,0.2813,22.029,21.092,22.966,7C,-2.029
The Arete with the Pocket,214,8A,8.7411,1.0596,1.1520,0.1593,23.458,22.928,23.989,7C+,+0.542
Sloperband Stehstart,1,7C,0.9083,1.7503,5.5037,1.0040,30.856,27.511,34.202,30.856209473518557,-8.856
Geschenk,64,6B,0.0074,0.2531,-3.6050,0.3118,15.371,14.333,16.410,6B+,-1.371
Just Jump,51,6C+,0.8900,0.3262,-1.9057,0.3981,18.260,16.934,19.587,7A,-1.260
Schwarzes Loch,400,7A,4.7007,0.3035,-0.8647,0.1248,20.030,19.614,20.446,7B,-2.030
Les cliquês à claques (stand),4,7B+,2.0336,1.2009,3.7987,0.6216,27.958,25.886,30.029,8C,-6.958
Marylin Monroe,2,8A,3.3984,1.5811,5.1217,0.8250,30.207,27.458,32.956,30.20686892279226,-6.207
geo maitresse,2,6C,1.1620,1.3278,0.6274,1.2148,22.567,18.519,26.614,7C+,-6.567
Frocio Multiplo,102,6C+,2.9041,0.4270,-1.0295,0.2423,19.750,18.943,20.557,7B,-2.750
Hopper,563,6C+,3.5488,0.2352,-3.3551,0.1118,15.796,15.424,16.169,6C,+1.204
China girl,19,7B+,0.7046,0.4897,1.4972,0.4111,24.045,22.676,25.415,8A,-3.045
The Aviator to Los Cursos,45,7B,0.9599,0.3308,-0.5265,0.4630,20.605,19.062,22.148,7B+,-0.605
Inarbeit,37,7B+,1.0863,0.3987,0.0899,0.4195,21.653,20.255,23.051,7C,-0.653
Schattenspiel,4,7A,0.3391,0.8841,2.3045,1.2005,25.418,21.418,29.418,8A+,-7.418
Warmup Heel,1,6B,0.2451,2.1049,5.3225,1.3195,30.548,26.152,34.945,30.54821003100634,-16.548
Palp friction,23,7A,1.1541,0.4952,1.2618,0.3989,23.645,22.316,24.974,8A,-5.645
Toccami tutta,287,7A+,4.4853,0.2935,-1.6954,0.1372,18.618,18.161,19.075,7A+,+0.382
Vento patagonico,137,7A,2.6679,0.3272,-0.8544,0.2064,20.048,19.360,20.735,7B,-2.048
Rechtsrutsch,103,6B,0.8066,0.2510,-5.2283,0.2185,12.612,11.884,13.340,6A+,+1.388
Pearcing,52,7A,2.5968,0.5718,-0.9200,0.3463,19.936,18.782,21.090,7B,-1.936
Lascia che sia diretta,16,7A+,0.6275,0.5629,0.9988,0.5615,23.198,21.327,25.069,7C+,-4.198
Pixel,390,7A,4.1913,0.3178,-1.7288,0.1390,18.561,18.098,19.024,7A+,-0.561
Movimento poco lento,142,7A,2.2814,0.3319,-1.7913,0.1968,18.455,17.799,19.110,7A,-0.455
La Grotte des Soupirs,355,7C+,7.8766,0.5645,0.2150,0.1312,21.865,21.428,22.303,7C,+1.135
No Fredom,1,8A,1.9482,2.0903,5.7561,0.9089,31.285,28.257,34.314,31.28537759848179,-7.285
Urbi et orbi,296,6C,2.7340,0.2394,-3.5574,0.1447,15.452,14.970,15.935,6B+,+0.548
Carlo il Magnifico,202,7A+,3.4390,0.2894,-1.2725,0.1869,19.337,18.714,19.959,7A+,-0.337
Gonzales,17,7B+,0.0646,0.5258,0.6932,0.5310,22.678,20.909,24.448,7C+,-1.678
Ci credo o non ci credo,116,7A,2.0428,0.2858,-1.3310,0.2548,19.237,18.388,20.086,7A+,-1.237
Money for nothing,101,6C,1.9597,0.3322,-1.5318,0.2552,18.896,18.046,19.746,7A+,-2.896
L'Altra Faccia,80,7B,2.4165,0.4409,-0.0111,0.2598,21.481,20.615,22.347,7B+,-1.481
Darkness,2,7C+,0.4006,1.6730,4.3158,0.8536,28.837,25.993,31.681,8C+,-5.837
Sofa Surfer,283,8A+,9.6104,0.9849,1.4902,0.1348,24.033,23.584,24.482,8A,+0.967
Shock wave,109,6B,0.9304,0.2589,-3.1778,0.2702,16.098,15.197,16.998,6C,-2.098
Numa-numa song,11,7B+,0.0681,0.5762,1.0032,0.5727,23.205,21.297,25.114,7C+,-2.205
Crimpy Dave Problem,1,7C+,0.6701,1.9544,5.7490,1.1454,31.273,27.457,35.090,31.27325835431973,-8.273
Ponk,157,8A,7.1838,0.5999,1.2159,0.1906,23.567,22.932,24.202,8A,+0.433
Juggy Warmup,2,6A+,1.7863,1.8300,5.6097,1.1547,31.036,27.189,34.884,31.036498635720335,-18.036
Border Line,391,7A,4.5658,0.3321,-1.7559,0.1301,18.515,18.082,18.948,7A+,-0.515
La pioche,420,7B+,6.2341,0.4539,-0.0608,0.1470,21.397,20.907,21.886,7B+,-0.397
Quantic bloc +,94,7A,2.2736,0.3306,-0.5815,0.2576,20.511,19.653,21.370,7B+,-2.511
Bella Gnocca,587,7A+,4.3368,0.2812,-2.0175,0.0936,18.070,17.759,18.382,7A,+0.930
Harry Spotter,305,7A,5.4721,0.5138,-0.9496,0.1438,19.886,19.407,20.365,7B,-1.886
