name,ascents,grade,popularity,popularity_std,elo,elo_std,inferred_grade,inferred_grade_lower,inferred_grade_upper,inferred_grade_str,delta
Platte,4,7C,1.6573,1.1385,4.3011,0.7941,28.812,26.166,31.458,8C+,-6.812
Grit deluxe direkt,8,7C,0.0706,0.6607,2.2306,0.5927,25.292,23.317,27.267,8A+,-3.292
Grit de Luxe,1133,7B,6.2833,0.4097,-1.4426,0.0846,19.048,18.765,19.330,7A+,+0.952
Slip Slap Slop right,12,7B+,0.4327,0.5430,1.4961,0.4091,24.043,22.680,25.406,8A,-3.043
Beach arete,377,6C,2.9911,0.2009,-2.8790,0.1435,16.606,16.127,17.084,6C+,-0.606
La Boume de Luxe,213,7B,3.1977,0.2397,-0.5776,0.1628,20.518,19.976,21.061,7B+,-0.518
Samurai Tango,483,7C+,5.7071,0.4397,-1.3468,0.1241,19.210,18.797,19.624,7A+,+3.790
New age travellers,43,7A+,1.1342,0.2989,0.2529,0.3536,21.930,20.752,23.108,7C,-2.930
Magic Dyno,173,6C+,1.7049,0.1824,-2.6606,0.1940,16.977,16.331,17.623,6C+,+0.023
Electricfactory,3,8A+,2.3941,1.3980,4.7695,0.6483,29.608,27.448,31.768,29.60807233564865,-4.608
Slip Slap Slop,509,7A,4.8181,0.3262,-0.5582,0.1020,20.551,20.211,20.891,7B+,-2.551
La Boume straight,51,7A,0.6969,0.3091,-0.9356,0.4712,19.910,18.340,21.479,7B,-1.910
Low Flow,134,6C,1.8912,0.2585,-1.7282,0.2317,18.562,17.790,19.334,7A+,-2.562
Killertomate,66,6B+,0.8312,0.2810,-2.6998,0.3360,16.910,15.791,18.030,6C+,-1.910
Linserboulder,574,7A,4.4128,0.2800,-1.3524,0.0912,19.201,18.897,19.505,7A+,-1.201
Tuna,24,7C,1.2500,0.5574,1.8304,0.3761,24.612,23.358,25.865,8A+,-2.612
Seven of Nine,93,6B+,0.0811,0.2827,-3.5170,0.2585,15.521,14.660,16.383,6C,-0.521
Piranja,557,7C+,8.6694,0.6970,0.3840,0.1179,22.153,21.760,22.546,7C,+0.847
High Noon,54,6B+,0.0810,0.2939,-2.8157,0.3664,16.713,15.492,17.934,6C+,-1.713
La Boume direct,56,6C+,0.6753,0.2606,-1.5595,0.3143,18.849,17.802,19.896,7A+,-1.849
U-Boot,1019,6C,4.5235,0.1854,-4.8139,0.0865,13.316,13.028,13.605,6A+,+2.684
Remembrance of things past,13,8B+,6.3206,1.6387,4.6253,0.4315,29.363,27.925,30.801,8C+,-2.363
Gollum,126,7C,4.7890,0.5194,1.0749,0.1845,23.327,22.713,23.942,7C+,-1.327
The Understanding,4,8C,5.5110,1.6322,5.4720,0.6558,30.802,28.617,32.988,30.802410375396835,-2.802
Circus Maximus,15,7C+,2.4180,0.6681,2.8541,0.3937,26.352,25.040,27.664,8B,-3.352
Samadhi,7,8B,4.6647,1.4074,4.3592,0.5154,28.911,27.193,30.628,8C+,-2.911
Sindarella,62,6C,0.0541,0.2943,-2.4834,0.3080,17.278,16.252,18.305,6C+,-1.278
Electroboogie,173,8A,9.3800,1.0146,2.0558,0.1254,24.995,24.577,25.413,8A+,-0.995
Sündenfall,333,7B,4.0232,0.2742,-2.0597,0.1159,17.998,17.612,18.385,7A,+2.002
Goldfish,409,7B+,6.3510,0.6068,0.0286,0.1223,21.549,21.141,21.956,7C,-0.549
Freiwild,662,6C,3.5490,0.1905,-3.9459,0.0882,14.792,14.498,15.086,6B+,+1.208
Blown Away,725,7B,6.3296,0.4870,-1.3070,0.0891,19.278,18.981,19.575,7A+,+0.722
Gartenzwerg,23,7B+,0.6410,0.4915,1.1892,0.4220,23.522,22.116,24.928,8A,-2.522
The right hand of Darkness,286,8A,8.8424,0.8761,1.3112,0.1230,23.729,23.319,24.139,8A,+0.271
In search of time lost,5,8C,5.4599,1.8113,5.4982,0.5352,30.847,29.064,32.630,30.84702311521735,-2.847
The left hand of Darkness,168,8A+,9.1607,1.1375,1.8862,0.1744,24.707,24.126,25.288,8A+,+0.293
Dark Matter,5,8B+,2.7626,1.2335,4.9303,0.5683,29.882,27.988,31.775,29.88150658140121,-2.882
Darkiss,21,7B+,0.7095,0.3538,0.4916,0.4835,22.336,20.725,23.947,7C,-1.336
Smeagol,166,7B,3.7755,0.3626,0.6943,0.1582,22.680,22.153,23.208,7C+,-2.680
La Force Tranquille,10,8C,6.4240,1.5427,4.7019,0.4563,29.493,27.973,31.014,8C+,-1.493
Dark Sakai,85,8A+,8.4292,1.0468,2.9721,0.2048,26.553,25.870,27.235,8B+,-1.553
Verbotene Frucht,346,7A+,3.7076,0.2561,-1.7251,0.1430,18.567,18.091,19.044,7A+,+0.433
End of Darkness,141,7A+,2.4113,0.2557,-1.3134,0.2068,19.267,18.578,19.956,7A+,-0.267
