name,ascents,grade,popularity,elo,elo_std,pop_std,inferred_grade,inferred_grade_lower,inferred_grade_upper,inferred_grade_str,delta
Dumm gschwätzt isch schnell,1,7B+,0.0964,3.3802,0.0000,0.0000,20.149,20.149,20.149,7B,+0.851
Eisberg,1,7C+,0.1654,2.7546,0.0000,0.0000,19.752,19.752,19.752,7B,+3.248
Neustart,11,7A+,2.0358,-1.1249,0.0000,0.0000,17.723,17.723,17.723,7A,+1.277
Red ramble,1,7B,-2.5116,1.4228,0.0000,0.0000,18.062,18.062,18.062,7A,+1.938
Maracuja,21,7A,3.1909,0.1337,0.0000,0.0000,18.908,18.908,18.908,7A+,-0.908
King slab,122,6A+,3.8975,-4.8609,0.0000,0.0000,15.787,15.787,15.787,6C,-2.787
Besenwagen,5,3A,-1.9082,-11.7295,0.0000,0.0000,9.467,9.467,9.467,5A,-6.467
Midnight lightning of Ticino sit,11,8B,6.7761,3.6400,0.0000,0.0000,22.320,22.320,22.320,7C,+3.680
Il paziente Direkt,1,7C+,0.9652,5.1450,0.0000,0.0000,21.586,21.586,21.586,7C,+1.414
Manson,112,8A,12.4632,1.4483,0.0000,0.0000,22.558,22.558,22.558,7C+,+1.442
Next gender,2,7C+,0.5909,4.4440,0.0000,0.0000,21.006,21.006,21.006,7B+,+1.994
Taca banda,6,6B+,-1.8271,-4.8584,0.0000,0.0000,14.076,14.076,14.076,6B,+0.924
