name,ascents,grade,popularity,elo,elo_std,pop_std,inferred_grade,inferred_grade_lower,inferred_grade_upper,inferred_grade_str,delta
New kids on da block,184,7A+,8.1082,-2.8709,0.0000,0.0000,18.374,18.374,18.374,7A,+0.626
Kreuz,23,7B,5.1230,-0.0868,0.0000,0.0000,19.339,19.339,19.339,7A+,+0.661
Alles raus!,20,6B,1.3849,-4.2114,0.0000,0.0000,15.469,15.469,15.469,6B+,-1.469
Eyes wide shut,83,7B,7.0717,-0.9979,0.0000,0.0000,19.314,19.314,19.314,7A+,+0.686
Weeed,1,6B,-0.2975,-0.3792,0.0000,0.0000,17.522,17.522,17.522,7A,-3.522
Double Infraction,16,8A+,9.8296,2.4845,0.0000,0.0000,22.462,22.462,22.462,7C,+2.538
Peter,34,6C,3.3058,-3.7122,0.0000,0.0000,16.376,16.376,16.376,6C,-0.376
Toblerone,5,6C+,4.0941,-1.8918,0.0000,0.0000,17.827,17.827,17.827,7A,-0.827
Bleausard,23,7A,3.0230,-1.9182,0.0000,0.0000,17.489,17.489,17.489,6C+,+0.511
Blitz und Donner,23,6A,5.6061,-5.5593,0.0000,0.0000,15.832,15.832,15.832,6C,-3.832
Entlingen,20,8B+,12.1616,2.3961,0.0000,0.0000,23.101,23.101,23.101,7C+,+3.899
Crack dealer,3,7B,-1.6544,1.1262,0.0000,0.0000,18.121,18.121,18.121,7A,+1.879
N.N. (etwas li. von Kante),5,6C+,2.4149,-3.1579,0.0000,0.0000,16.480,16.480,16.480,6C,+0.520
Cornershop,40,6B,3.3659,-3.9264,0.0000,0.0000,16.251,16.251,16.251,6C,-2.251
Heidiland,167,7B,7.9780,-2.7325,0.0000,0.0000,18.427,18.427,18.427,7A,+1.573
Nachtschwärmer,3,6C,3.3533,2.4572,0.0000,0.0000,20.507,20.507,20.507,7B+,-4.507
Heidi,38,6A,4.7724,-6.7021,0.0000,0.0000,14.820,14.820,14.820,6B+,-2.820
Pscht!,6,6B+,-1.6796,-2.7033,0.0000,0.0000,15.558,15.558,15.558,6C,-0.558
Dau Man,19,6C+,3.7950,-2.5887,0.0000,0.0000,17.272,17.272,17.272,6C+,-0.272
Riss,13,6A,1.9728,-4.2310,0.0000,0.0000,15.631,15.631,15.631,6C,-3.631
Unscheinbarer Pfeiler,75,7A+,6.4496,-1.4417,0.0000,0.0000,18.831,18.831,18.831,7A+,+0.169
Kieselzange,79,6B+,4.5726,-4.2885,0.0000,0.0000,16.370,16.370,16.370,6C,-1.370
Batman,42,7B+,9.3705,-0.6390,0.0000,0.0000,20.241,20.241,20.241,7B,+0.759
Kreuz und Quer,6,7C,6.5043,2.2910,0.0000,0.0000,21.338,21.338,21.338,7B+,+0.662
Eckzimmer,40,8B,12.1733,1.7023,0.0000,0.0000,22.641,22.641,22.641,7C+,+3.359
Nanga Parbat NO-Kante,5,7B,2.8208,1.6990,0.0000,0.0000,19.842,19.842,19.842,7B,+0.158
Pocket Rocket,27,8A,10.3551,0.9597,0.0000,0.0000,21.602,21.602,21.602,7C,+2.398
Crack line,8,6C+,-0.2773,-2.6324,0.0000,0.0000,16.025,16.025,16.025,6C,+0.975
Gratulescion,3,5A,-1.6158,-6.3619,0.0000,0.0000,13.136,13.136,13.136,6A+,-4.136
Shoujo manga,4,6B,-3.3340,-6.3759,0.0000,0.0000,12.613,12.613,12.613,6A+,+1.387
Soloditre,4,3B,-0.0044,-10.6352,0.0000,0.0000,10.767,10.767,10.767,5C,-6.767
L'imprevisto,2,6B,-12.1468,-4.2418,0.0000,0.0000,11.401,11.401,11.401,5C,+2.599
Snake,30,6A,1.7967,-5.3775,0.0000,0.0000,14.814,14.814,14.814,6B+,-2.814
Pentagram,32,6A,2.9528,-5.7778,0.0000,0.0000,14.892,14.892,14.892,6B+,-2.892
Tiramore,6,6A+,-2.9337,-3.5173,0.0000,0.0000,14.640,14.640,14.640,6B+,-1.640
Il pannelaro,11,6B,0.5096,-3.0715,0.0000,0.0000,15.967,15.967,15.967,6C,-1.967
Teorema euclideo,30,6A,3.2504,-5.7356,0.0000,0.0000,15.009,15.009,15.009,6B+,-3.009
Trieste-Gottardo,154,8A,14.3396,0.4931,0.0000,0.0000,22.482,22.482,22.482,7C,+1.518
Cainadòr,4,6B+,-1.9586,-7.0754,0.0000,0.0000,12.557,12.557,12.557,6A+,+2.443
V commisione,2,6A,0.9488,-5.5439,0.0000,0.0000,14.449,14.449,14.449,6B,-2.449
Frizzi e lazzi,8,4A,1.3846,-13.8080,0.0000,0.0000,9.065,9.065,9.065,5A,-3.065
Lotta continua,6,6A+,-2.0271,-6.3534,0.0000,0.0000,13.019,13.019,13.019,6A+,-0.019
El pelequero,2,6B+,-0.3697,0.8093,0.0000,0.0000,18.294,18.294,18.294,7A,-3.294
Il principe mezzosangue,2,5A,-0.3785,-2.6280,0.0000,0.0000,15.998,15.998,15.998,6C,-6.998
Genio egoista,12,6B+,0.4742,-4.2341,0.0000,0.0000,15.181,15.181,15.181,6B+,-0.181
Cavallo a maniglie,11,6B,0.0997,-2.2227,0.0000,0.0000,16.411,16.411,16.411,6C,-2.411
Swiss corner,13,7B,3.8605,1.2916,0.0000,0.0000,19.881,19.881,19.881,7B,+0.119
Coupe d'epaule,5,6C,-0.9678,-3.2652,0.0000,0.0000,15.396,15.396,15.396,6B+,+0.604
Hasch mich,53,7A+,5.2035,-1.5462,0.0000,0.0000,18.389,18.389,18.389,7A,+0.611
Ponstan 500,14,6C+,2.5901,-1.2397,0.0000,0.0000,17.812,17.812,17.812,7A,-0.812
La baguette,3,3B,-0.9996,-9.9469,0.0000,0.0000,10.928,10.928,10.928,5C,-6.928
La redoute,24,6B,1.4929,-1.7039,0.0000,0.0000,17.174,17.174,17.174,6C+,-3.174
Giovani marmotte,6,6C,1.5096,-0.8721,0.0000,0.0000,17.734,17.734,17.734,7A,-1.734
Scary Christmas,64,8A,15.2858,-0.0620,0.0000,0.0000,22.395,22.395,22.395,7C,+1.605
Senza paura,5,6C,-2.4139,-0.3734,0.0000,0.0000,16.893,16.893,16.893,6C+,-0.893
Sverginella,2,4A,-1.9577,-8.3148,0.0000,0.0000,11.731,11.731,11.731,6A,-5.731
Enea‘s problem,1,6A,-1.1682,-5.1584,0.0000,0.0000,14.073,14.073,14.073,6B,-2.073
Senza frontiere,3,6B+,-3.8446,-5.9293,0.0000,0.0000,12.758,12.758,12.758,6A+,+2.242
Lupisciu,20,6A,1.2787,-5.6352,0.0000,0.0000,14.487,14.487,14.487,6B,-2.487
Nothing to loose,5,6C+,0.7074,1.0615,0.0000,0.0000,18.784,18.784,18.784,7A+,-1.784
Trombstone,5,6B+,-1.0619,-3.9262,0.0000,0.0000,14.927,14.927,14.927,6B+,+0.073
German Airway,1,7A+,-4.5874,2.5415,0.0000,0.0000,18.188,18.188,18.188,7A,+0.812
Traccia fantasma,6,6B+,-3.3417,-3.2995,0.0000,0.0000,14.663,14.663,14.663,6B+,+0.337
Buena vista,6,6A+,-3.3458,-3.2857,0.0000,0.0000,14.671,14.671,14.671,6B+,-1.671
Ecstasy,166,6C+,11.3830,-2.3593,0.0000,0.0000,19.695,19.695,19.695,7B,-2.695
Il prigioniero di Azkaban,7,6A,-1.5495,-5.1619,0.0000,0.0000,13.957,13.957,13.957,6B,-1.957
Variante senza pelo,2,6A+,-5.3869,-2.3607,0.0000,0.0000,14.678,14.678,14.678,6B+,-1.678
Lupo Lupone,2,5A,-2.4415,-8.6601,0.0000,0.0000,11.356,11.356,11.356,5C,-2.356
La mala educación,2,4A,-2.0684,-5.7357,0.0000,0.0000,13.419,13.419,13.419,6A+,-7.419
Basket Club,4,7A+,0.0801,1.5453,0.0000,0.0000,18.919,18.919,18.919,7A+,+0.081
Richy boulder,1,6B+,-12.1632,-4.2400,0.0000,0.0000,11.397,11.397,11.397,5C,+3.603
Yaniro completa,14,6B,0.5172,-4.6758,0.0000,0.0000,14.899,14.899,14.899,6B+,-0.899
Tengo famiglia,2,6C,-1.6961,1.5182,0.0000,0.0000,18.370,18.370,18.370,7A,-2.370
Bradipo Sid,1,7A+,-4.5861,2.5560,0.0000,0.0000,18.198,18.198,18.198,7A,+0.802
Trumbalalela,3,6A+,-2.4037,-7.0701,0.0000,0.0000,12.428,12.428,12.428,6A,+0.572
Il marocchino,14,7A+,4.5852,1.1075,0.0000,0.0000,19.975,19.975,19.975,7B,-0.975
L' eco du mariage,3,7A+,-0.1966,0.4684,0.0000,0.0000,18.118,18.118,18.118,7A,+0.882
Dracula,3,7A+,-1.7446,0.3444,0.0000,0.0000,17.572,17.572,17.572,7A,+1.428
Deep impact,1,6B+,-4.6005,2.5595,0.0000,0.0000,18.196,18.196,18.196,7A,-3.196
Homo mouse,48,7C,7.1484,-0.7871,0.0000,0.0000,19.477,19.477,19.477,7A+,+2.523
Anonima fumetti,2,6A+,-3.5035,-4.4583,0.0000,0.0000,13.842,13.842,13.842,6B,-0.842
Crash-pad surfer,1,6C+,-1.8700,1.2172,0.0000,0.0000,18.117,18.117,18.117,7A,-1.117
Cryptex,1,7A,-3.3290,1.1097,0.0000,0.0000,17.609,17.609,17.609,7A,+0.391
Crash-test,5,6B,1.2881,-6.3374,0.0000,0.0000,14.021,14.021,14.021,6B,-0.021
Mugina wall,9,6B,-1.3354,-5.6134,0.0000,0.0000,13.719,13.719,13.719,6B,+0.281
Immunoterapia,2,5A,-2.4193,-6.3092,0.0000,0.0000,12.931,12.931,12.931,6A+,-3.931
Sacra Pipe,2,4A,-0.7345,-8.3428,0.0000,0.0000,12.078,12.078,12.078,6A,-6.078
Liebera la mente,3,5A,2.1088,-6.9829,0.0000,0.0000,13.836,13.836,13.836,6B,-4.836
Nouvi bersagli,13,6C,1.6326,-1.6582,0.0000,0.0000,17.246,17.246,17.246,6C+,-1.246
Delirium tremens,24,6C+,2.7781,-3.8094,0.0000,0.0000,16.153,16.153,16.153,6C,+0.847
Amalapena,6,6A+,-2.6933,-2.0931,0.0000,0.0000,15.662,15.662,15.662,6C,-2.662
Placascia,3,6B+,-0.3455,-1.4228,0.0000,0.0000,16.812,16.812,16.812,6C+,-1.812
Arty,9,7A,-0.2738,-1.6360,0.0000,0.0000,16.691,16.691,16.691,6C+,+1.309
Zottelmonster,5,5A,-1.0036,-6.2198,0.0000,0.0000,13.414,13.414,13.414,6A+,-4.414
Il Ballerino,9,7B+,2.1969,3.3076,0.0000,0.0000,20.728,20.728,20.728,7B+,+0.272
Mauros Line,13,7C,1.9379,1.0174,0.0000,0.0000,19.123,19.123,19.123,7A+,+2.877
Iron Butterfly,192,7B+,7.1846,-0.1020,0.0000,0.0000,19.945,19.945,19.945,7B,+1.055
Dance with Wolves,1,6C,-2.0454,2.1733,0.0000,0.0000,18.703,18.703,18.703,7A+,-2.703
Papa Chango,76,7C,4.8488,0.0963,0.0000,0.0000,19.379,19.379,19.379,7A+,+2.621
Nona,3,6A+,-3.0922,-1.2905,0.0000,0.0000,16.078,16.078,16.078,6C,-3.078
From shallow water to Baptiste,8,8A,1.6335,3.4975,0.0000,0.0000,20.687,20.687,20.687,7B+,+3.313
Angel Heart,5,7C,1.1589,0.3922,0.0000,0.0000,18.473,18.473,18.473,7A,+3.527
Riverbed,234,8B,16.1168,2.2738,0.0000,0.0000,24.202,24.202,24.202,8A,+1.798
Baptiste,101,7B+,4.3851,-2.3855,0.0000,0.0000,17.584,17.584,17.584,7A,+3.416
Rastafarai,1,6A+,-4.3672,-4.5476,0.0000,0.0000,13.524,13.524,13.524,6B,-0.524
From shallow water to riverbed,24,8B+,6.9913,3.8783,0.0000,0.0000,22.543,22.543,22.543,7C+,+4.457
Baby Boy,7,6A,-1.8752,-7.8216,0.0000,0.0000,12.085,12.085,12.085,6A,-0.085
Nimmersatt,2,6C+,-2.4864,-2.3827,0.0000,0.0000,15.531,15.531,15.531,6C,+1.469
Zork,1,6A,-8.8998,-2.1765,0.0000,0.0000,13.750,13.750,13.750,6B,-1.750
Schimmelkante,4,5A,-2.4227,-5.4476,0.0000,0.0000,13.505,13.505,13.505,6B,-4.505
Scared of the wild,7,7A,-1.0371,-2.9282,0.0000,0.0000,15.600,15.600,15.600,6C,+2.400
Practice of the Wild,32,8B+,11.0172,3.9951,0.0000,0.0000,23.825,23.825,23.825,8A,+3.175
Pan,7,5A,-1.0451,-9.2817,0.0000,0.0000,11.359,11.359,11.359,5C,-2.359
Muchacha,39,7A,1.7404,-1.3905,0.0000,0.0000,17.457,17.457,17.457,6C+,+0.543
Flippas,8,7B,0.5052,-1.1155,0.0000,0.0000,17.271,17.271,17.271,6C+,+2.729
Life in the dirt,20,7A,0.2176,-3.5475,0.0000,0.0000,15.562,15.562,15.562,6C,+2.438
Schimmelplatte,3,6A,-0.9895,-10.1516,0.0000,0.0000,10.795,10.795,10.795,5C,+1.205
The bomb is explosion,123,8A+,11.2538,0.5426,0.0000,0.0000,21.592,21.592,21.592,7C,+3.408
Dusty soul,7,6B,-2.8394,-5.1751,0.0000,0.0000,13.562,13.562,13.562,6B,+0.438
Muerte,2,7B,-1.0643,0.2326,0.0000,0.0000,17.701,17.701,17.701,7A,+2.299
120b,2,6B,-3.4253,-0.5279,0.0000,0.0000,16.488,16.488,16.488,6C,-2.488
Schimmel & Bless,1,6B+,-5.3303,7.6667,0.0000,0.0000,21.386,21.386,21.386,7B+,-6.386
Peter,6,6A,-1.6214,-7.0796,0.0000,0.0000,12.655,12.655,12.655,6A+,-0.655
Treeattack,96,7B,3.6684,-2.7489,0.0000,0.0000,17.127,17.127,17.127,6C+,+2.873
Neandertaler,115,7B,4.1445,-1.2728,0.0000,0.0000,18.255,18.255,18.255,7A,+1.745
Abraxas,205,7A+,4.4706,-1.6401,0.0000,0.0000,18.107,18.107,18.107,7A,+0.893
Giulebbatici geni gerosolimitanti,4,8A,-0.0439,3.5404,0.0000,0.0000,20.213,20.213,20.213,7B,+3.787
Magic Dyno zentral,37,6C+,1.6498,-2.0074,0.0000,0.0000,17.018,17.018,17.018,6C+,-0.018
Magic Hook,36,6C,1.0360,-2.7865,0.0000,0.0000,16.315,16.315,16.315,6C,-0.315
Rastamaniac,2,6A,-3.7723,-8.1809,0.0000,0.0000,11.277,11.277,11.277,5C,+0.723
Cross over Traverse,3,7C,-2.7310,2.7986,0.0000,0.0000,18.915,18.915,18.915,7A+,+3.085
Luisa,4,6A,-2.8071,-4.1343,0.0000,0.0000,14.266,14.266,14.266,6B,-2.266
David Hasselhof,2,6A,-3.1595,-4.6771,0.0000,0.0000,13.799,13.799,13.799,6B,-1.799
Blessplatte,2,6B,-2.3057,2.0547,0.0000,0.0000,18.546,18.546,18.546,7A+,-4.546
Bikini Slap,1,7A+,-8.8985,-2.1649,0.0000,0.0000,13.758,13.758,13.758,6B,+5.242
Kavamura,4,7A+,-2.8309,-0.0369,0.0000,0.0000,16.993,16.993,16.993,6C+,+2.007
Baywatch,4,6A+,-2.3343,-6.7302,0.0000,0.0000,12.675,12.675,12.675,6A+,+0.325
Beach Easy,59,5A,2.9604,-9.7984,0.0000,0.0000,12.212,12.212,12.212,6A,-3.212
Beach Traverse,291,6A,4.0115,-5.6055,0.0000,0.0000,15.324,15.324,15.324,6B+,-3.324
Hamstring,3,6A,-3.8172,-2.6294,0.0000,0.0000,14.968,14.968,14.968,6B+,-2.968
Microcosmos,10,7C,0.6046,2.0079,0.0000,0.0000,19.385,19.385,19.385,7A+,+2.615
Tischlein deck dich,14,6C,0.1266,-4.5139,0.0000,0.0000,14.890,14.890,14.890,6B+,+1.110
The selfie gene,4,7A+,-1.8642,2.0283,0.0000,0.0000,18.660,18.660,18.660,7A+,+0.340
Bridgestone,80,6C,1.3982,-4.0975,0.0000,0.0000,15.548,15.548,15.548,6C,+0.452
The Wizard,15,7C,3.8104,1.7136,0.0000,0.0000,20.147,20.147,20.147,7B,+1.853
Power of Pan,3,7B+,-0.6844,3.0169,0.0000,0.0000,19.673,19.673,19.673,7B,+1.327
Joint Venture,66,7A+,1.9927,-2.7232,0.0000,0.0000,16.643,16.643,16.643,6C+,+2.357
Hungarian Invasion,4,7C,2.8520,4.1246,0.0000,0.0000,21.469,21.469,21.469,7B+,+0.531
Platte,4,7C,2.5876,4.5393,0.0000,0.0000,21.667,21.667,21.667,7C,+0.333
Grit deluxe direkt,8,7C,1.2385,2.3268,0.0000,0.0000,19.787,19.787,19.787,7B,+2.213
Jade,5,6C,-2.1851,-1.3084,0.0000,0.0000,16.338,16.338,16.338,6C,-0.338
Grit de Luxe,1133,7B,16.2450,-1.0897,0.0000,0.0000,21.996,21.996,21.996,7C,-1.996
Slip Slap Slop right,12,7B+,1.5204,0.8680,0.0000,0.0000,18.898,18.898,18.898,7A+,+2.102
La Baguette,25,6A+,-0.3985,-3.8643,0.0000,0.0000,15.167,15.167,15.167,6B+,-2.167
Beach arete,377,6C,5.5143,-2.8548,0.0000,0.0000,17.609,17.609,17.609,7A,-1.609
Beachparty,2,7B,-0.9583,1.9554,0.0000,0.0000,18.882,18.882,18.882,7A+,+1.118
Fettes Brot,2,6C,-3.6045,-5.6042,0.0000,0.0000,13.047,13.047,13.047,6A+,+2.953
Pesto,5,6B+,-1.3750,-3.9814,0.0000,0.0000,14.796,14.796,14.796,6B+,+0.204
La Boume de Luxe,213,7B,5.7563,-1.2894,0.0000,0.0000,18.726,18.726,18.726,7A+,+1.274
Samurai Tango,483,7C+,10.1695,-1.5174,0.0000,0.0000,19.894,19.894,19.894,7B,+3.106
New age travellers,43,7A+,2.5896,-0.0896,0.0000,0.0000,18.579,18.579,18.579,7A+,+0.421
Doppeldyno,77,6B,1.2618,-4.0294,0.0000,0.0000,15.553,15.553,15.553,6C,-1.553
Magic Dyno,173,6C+,3.7795,-2.4962,0.0000,0.0000,17.329,17.329,17.329,6C+,-0.329
Vorspiel,3,6B,-2.6319,-5.2098,0.0000,0.0000,13.601,13.601,13.601,6B,+0.399
Electricfactory,3,8A+,2.3744,4.2719,0.0000,0.0000,21.425,21.425,21.425,7B+,+3.575
Slip Slap Slop,509,7A,8.4846,-0.2342,0.0000,0.0000,20.246,20.246,20.246,7B,-2.246
La Boume straight,51,7A,3.4921,-1.6490,0.0000,0.0000,17.809,17.809,17.809,7A,+0.191
Low Flow arete,28,6B+,0.4680,-5.1794,0.0000,0.0000,14.548,14.548,14.548,6B+,+0.452
Low Flow,134,6C,3.2987,-2.2677,0.0000,0.0000,17.338,17.338,17.338,6C+,-1.338
Killertomate,66,6B+,2.1664,-2.6996,0.0000,0.0000,16.711,16.711,16.711,6C+,-1.711
Crouch-Potatoe,3,5A,-0.8375,-4.2015,0.0000,0.0000,14.810,14.810,14.810,6B+,-5.810
Petting,2,6A,-4.5385,-2.4211,0.0000,0.0000,14.891,14.891,14.891,6B+,-2.891
Linserboulder,574,7A,7.5781,-1.3778,0.0000,0.0000,19.212,19.212,19.212,7A+,-1.212
Raue Welt,13,6C+,-1.3374,-1.3956,0.0000,0.0000,16.533,16.533,16.533,6C+,+0.467
Second floor,2,6B,-2.3781,-3.8358,0.0000,0.0000,14.594,14.594,14.594,6B+,-0.594
Tuna,24,7C,1.6205,0.1530,0.0000,0.0000,18.451,18.451,18.451,7A,+3.549
Seven of Nine,93,6B+,2.2753,-3.6045,0.0000,0.0000,16.140,16.140,16.140,6C,-1.140
Minisex,16,7C+,1.3265,1.1113,0.0000,0.0000,19.003,19.003,19.003,7A+,+3.997
Piranja,557,7C+,22.9686,0.8293,0.0000,0.0000,25.287,25.287,25.287,8A+,-2.287
King of Kongtroversy,16,7B,0.5022,-1.6912,0.0000,0.0000,16.886,16.886,16.886,6C+,+3.114
Spaceshuttle,10,6C,-0.2987,-3.0999,0.0000,0.0000,15.707,15.707,15.707,6C,+0.293
108a,14,5A,-0.8300,-7.0463,0.0000,0.0000,12.914,12.914,12.914,6A+,-3.914
Quicky,1,6C+,-2.9155,1.9315,0.0000,0.0000,18.281,18.281,18.281,7A,-1.281
Monkey Bone,3,7A+,0.3440,3.1129,0.0000,0.0000,20.044,20.044,20.044,7B,-1.044
High Noon,54,6B+,1.1792,-3.3458,0.0000,0.0000,15.985,15.985,15.985,6C,-0.985
La Boume direct,56,6C+,2.9517,-2.2340,0.0000,0.0000,17.257,17.257,17.257,6C+,-0.257
Highway to Hell,9,6A+,-1.3925,-5.8195,0.0000,0.0000,13.565,13.565,13.565,6B,-0.565
U-Boot,1019,6C,10.2032,-5.1033,0.0000,0.0000,17.511,17.511,17.511,7A,-1.511
Luft in den Zehen,3,6C+,-2.6573,-4.1640,0.0000,0.0000,14.291,14.291,14.291,6B,+2.709
102c,5,6A,-1.8830,-9.1187,0.0000,0.0000,11.217,11.217,11.217,5C,+0.783
Remembrance of things past,13,8B+,7.6423,4.2771,0.0000,0.0000,23.004,23.004,23.004,7C+,+3.996
Gollum,126,7C,6.6786,0.0918,0.0000,0.0000,19.923,19.923,19.923,7B,+2.077
The Understanding,4,8C,8.5917,5.6500,0.0000,0.0000,24.204,24.204,24.204,8A,+3.796
106,4,6A+,-3.2388,-4.7988,0.0000,0.0000,13.694,13.694,13.694,6B,-0.694
From the darkness to sunshine,7,7C+,0.2198,1.4529,0.0000,0.0000,18.899,18.899,18.899,7A+,+4.101
Forgotten years,1,5A,-4.2304,-0.9488,0.0000,0.0000,15.966,15.966,15.966,6C,-6.966
Circus Maximus,15,7C+,2.0466,1.3536,0.0000,0.0000,19.380,19.380,19.380,7A+,+3.620
Woogi Boogi,16,7C,1.8986,-1.5784,0.0000,0.0000,17.379,17.379,17.379,6C+,+4.621
Samadhi,7,8B,4.5777,4.2275,0.0000,0.0000,22.054,22.054,22.054,7C,+3.946
Sindarella,62,6C,1.9581,-2.9378,0.0000,0.0000,16.490,16.490,16.490,6C,-0.490
Electroboogie,173,8A,13.8939,2.4613,0.0000,0.0000,23.662,23.662,23.662,8A,+0.338
Sündenfall,333,7B,6.5123,-2.3762,0.0000,0.0000,18.227,18.227,18.227,7A,+1.773
Goldfish,409,7B+,9.6729,-0.2995,0.0000,0.0000,20.558,20.558,20.558,7B+,+0.442
Feuerbesen,2,7C+,-2.7320,2.0369,0.0000,0.0000,18.406,18.406,18.406,7A,+4.594
Freiwild,662,6C,6.8583,-4.1699,0.0000,0.0000,17.133,17.133,17.133,6C+,-1.133
Schöne Welt,82,6B,1.8103,-4.0878,0.0000,0.0000,15.678,15.678,15.678,6C,-1.678
From sunshine to heaven,6,7B,-0.9729,2.3869,0.0000,0.0000,19.166,19.166,19.166,7A+,+0.834
Blown Away,725,7B,12.0566,-1.5565,0.0000,0.0000,20.432,20.432,20.432,7B,-0.432
Gartenzwerg,23,7B+,1.1102,0.8053,0.0000,0.0000,18.734,18.734,18.734,7A+,+2.266
Jedi Jack links,23,6C,0.4266,-4.7076,0.0000,0.0000,14.851,14.851,14.851,6B+,+1.149
The right hand of Darkness,286,8A,14.3377,1.5228,0.0000,0.0000,23.169,23.169,23.169,7C+,+0.831
Arschbombe,1,7B+,-6.5727,1.3706,0.0000,0.0000,16.813,16.813,16.813,6C+,+4.187
In search of time lost,5,8C,6.6260,4.9587,0.0000,0.0000,23.155,23.155,23.155,7C+,+4.845
Invaders must die,12,7B+,0.3583,1.5977,0.0000,0.0000,19.038,19.038,19.038,7A+,+1.962
Erbsen auf der Flucht,2,7B,-2.6163,0.8966,0.0000,0.0000,17.680,17.680,17.680,7A,+2.320
White Snake,19,5A,0.5523,-7.5985,0.0000,0.0000,12.959,12.959,12.959,6A+,-3.959
The left hand of Darkness,168,8A+,14.2535,2.2730,0.0000,0.0000,23.644,23.644,23.644,8A,+1.356
Wändli,2,6C+,-2.5284,-3.2078,0.0000,0.0000,14.968,14.968,14.968,6B+,+2.032
Dark Matter,5,8B+,4.2684,4.7491,0.0000,0.0000,22.310,22.310,22.310,7C,+4.690
Darkiss,21,7B+,1.8377,-0.7614,0.0000,0.0000,17.906,17.906,17.906,7A,+3.094
Smeagol,166,7B,5.3897,0.4024,0.0000,0.0000,19.745,19.745,19.745,7B,+0.255
La Force Tranquille,10,8C,10.1337,4.7296,0.0000,0.0000,24.051,24.051,24.051,8A,+3.949
Mikeboulder,11,7B+,-0.9754,0.5639,0.0000,0.0000,17.949,17.949,17.949,7A,+3.051
Finito seduto,2,6C+,-3.6772,0.0465,0.0000,0.0000,16.795,16.795,16.795,6C+,+0.205
Sam + Pam,3,6A,-1.3667,-5.8260,0.0000,0.0000,13.568,13.568,13.568,6B,-1.568
Auf durch die Hecke,8,7A,-1.0564,-3.0947,0.0000,0.0000,15.483,15.483,15.483,6B+,+2.517
Dark Sakai,85,8A+,12.3689,3.2162,0.0000,0.0000,23.710,23.710,23.710,8A,+1.290
Verbotene Frucht,346,7A+,6.0015,-2.0724,0.0000,0.0000,18.277,18.277,18.277,7A,+0.723
Sunblocker,13,6C+,-0.2834,-3.0232,0.0000,0.0000,15.762,15.762,15.762,6C,+1.238
End of Darkness,141,7A+,4.8273,-1.6838,0.0000,0.0000,18.185,18.185,18.185,7A,+0.815
The bizzarre ride,79,8A+,11.7536,1.6196,0.0000,0.0000,22.460,22.460,22.460,7C,+2.540
The Knowing,26,8B,7.7318,3.4911,0.0000,0.0000,22.506,22.506,22.506,7C+,+3.494
Erbsünde,19,7A+,0.1798,-1.7965,0.0000,0.0000,16.719,16.719,16.719,6C+,+2.281
Oh Tannenbaum,72,6C,1.7776,-2.6439,0.0000,0.0000,16.632,16.632,16.632,6C+,-0.632
King of Birds,4,6A,-3.4317,-3.2793,0.0000,0.0000,14.650,14.650,14.650,6B+,-2.650
Hades,2,8A+,-2.8744,1.7809,0.0000,0.0000,18.193,18.193,18.193,7A,+6.807
Muschitanz,122,6A,2.3912,-4.0092,0.0000,0.0000,15.904,15.904,15.904,6C,-3.904
Stolen,7,7A,-1.4651,-0.9824,0.0000,0.0000,16.771,16.771,16.771,6C+,+1.229
Kante,15,5A,-0.9897,-5.8261,0.0000,0.0000,13.681,13.681,13.681,6B,-4.681
Jedi Jack rechts,36,7A,1.2660,-2.9282,0.0000,0.0000,16.289,16.289,16.289,6C,+1.711
Asian Exotic,3,6A,-2.9086,-4.4578,0.0000,0.0000,14.020,14.020,14.020,6B,-2.020
Dinos don't Dynos,883,7B,17.1427,-0.6716,0.0000,0.0000,22.543,22.543,22.543,7C+,-2.543
By the way,1,4A,-2.8868,-7.3954,0.0000,0.0000,12.066,12.066,12.066,6A,-6.066
Life of Brian,2,6C+,-3.0429,-0.9950,0.0000,0.0000,16.290,16.290,16.290,6C,+0.710
The boy who dreamed about coconut,1,6C,-8.8976,-2.1799,0.0000,0.0000,13.749,13.749,13.749,6B,+2.251
Rumpelpilzchen,2,5A,-3.5193,-0.7472,0.0000,0.0000,16.313,16.313,16.313,6C,-7.313
By your side,67,6C,1.0733,-2.9065,0.0000,0.0000,16.246,16.246,16.246,6C,-0.246
Nummer 1,8,6B,-1.1915,-4.3977,0.0000,0.0000,14.574,14.574,14.574,6B+,-0.574
Dharma,4,6C,-1.9512,-2.2701,0.0000,0.0000,15.766,15.766,15.766,6C,+0.234
Fan Pia,44,7A,2.0933,-3.4665,0.0000,0.0000,16.177,16.177,16.177,6C,+1.823
Barbarella,275,6C,4.9881,-2.4589,0.0000,0.0000,17.716,17.716,17.716,7A,-1.716
Glettisa,2,7C+,-1.2163,3.3650,0.0000,0.0000,19.746,19.746,19.746,7B,+3.254
Mantlegamble,3,5A,-2.9099,-4.0498,0.0000,0.0000,14.292,14.292,14.292,6B,-5.292
Land of unicorns,25,7B+,1.6744,-0.4247,0.0000,0.0000,18.082,18.082,18.082,7A,+2.918
Diagon Alley,2,7C,-1.1164,2.9329,0.0000,0.0000,19.487,19.487,19.487,7A+,+2.513
Clumsy Guy,13,6C+,0.6716,-1.5501,0.0000,0.0000,17.031,17.031,17.031,6C+,-0.031
